time,T_pipe_ave,T_reac_ave,T_reac_bot,T_reac_max,T_reac_top,T_ref_ave,T_ref_max,T_ref_wall,average_T,c1_inlet,c1_outlet,c2_inlet,c2_outlet,c3_inlet,c3_outlet,c4_inlet,c4_outlet,c5_inlet,c5_outlet,c6_inlet,c6_outlet,cp_avg,flow,heat-input-pipe-pp,heat-input-ref-pp,heat-loss-pipe,heat-loss-ref,k_avg,max_v,pdrop-mixing-plate,phi0-pp,reactor-power,reactor-power-func,rho_avg,viscosity_avg
10000000,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,640.87463074074,0,0,0,0,0,0.38381737037037,0,0,0,1000000,0,3250.86,0.0053076038214139
10000010,901.79172134843,895.640528909,900.66113630905,910.97544836637,902.04069243387,755.83275762668,860.39204535273,732.73549203722,896.63448536586,0,0,0,0,0,0,0,0,0,0,0,0,640.98617761138,30.791310018184,0,0,2064.6308993803,1377.8435413164,0.38341222452767,1.5178108343567,-588.0218214269,0,1000000,1000001.9531765,3254.456388938,0.0053869778428349
10000030,914.88452106131,911.99623164191,912.5348821709,930.39719350627,916.44986434012,757.07862610433,878.3619042766,732.91331342855,912.4269469603,0,0,0,0,0,0,0,0,0,0,0,0,642.29786133636,25.359063140666,0,0,2109.5333134132,22954.597075846,0.38636631006642,1.234987034525,-395.73980347749,0,1000000,1000001.9531765,3237.5805644782,0.0050629848083108
